0.23,99.72
0.24,100.62
0.18,99.1
0.2,99.74
0.14,99.42
0.11,99.66
0.16,98.92
0.17,98.85
0.15,102.13
0.06,100.75
0.25,101.06
0.26,99.01
0.24,100.3
0.29,101.43
0.37,97.05
0.38,97.74
0.28,97.65
0.31,97.59
0.34,96.87
0.24,99.69
0.21,97.67
0.34,96.41
0.27,97.83
0.4,95.27
0.31,96.61
0.24,97.38
0.38,103.23
0.28,96.94
0.29,96.87
0.4,95.29
0.29,96.9
0.4,95.74
0.32,96.99
0.35,96.64
0.29,97.88
0.37,95.97
0.35,96.14
0.31,96.52
0.32,96.36
0.47,99.5
0.48,100.7
0.35,96.01
0.18,101.06
0.17,99.79
0.22,100.92
0.2,101.05
0.26,102.47
0.42,103
0.24,102.05
0.14,99.7
0.16,99.8
0.21,100.7
0.31,101.35
0.2,99.44
0.33,100.42
0.41,101.9
0.2,101.56
0.19,98.46
0.19,99.4
0.17,99.19
0.13,99.77
0.22,100.66
0.17,98.31
0.22,98.65
0.23,99.23
0.18,98.81
0.22,99.31
0.11,100.07
0.17,97.77
0.24,97.73
0.29,98.5
0.29,98.77
0.3,98.47
0.15,99.23
0.19,98.14
